UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
CIe00822,TX,Dallas,Dallas Council,TX,Dallas City Council District 1,City Council District 1,Scott Griggs,"Dallas City Hall 1500 Marilla St.Room 5FN Dallas, Texas 75201",(214)-670-0776,http://dallascityhall.com/government/citycouncil/district1/,scott.griggs@dallascityhall.com,,,ocd-division/country:us/state:tx/place:dallas/council_district:1
CIe00828,TX,Dallas,Dallas Council,TX,Dallas City Council District 2,City Council District 2,Adam Medrano,"Dallas City Hall 1500 Marilla St.Room 5FN Dallas, Texas 75201",214-670-4048,http://dallascityhall.com/government/citycouncil/district2/,adam.medrano@dallascityhall.com,,,ocd-division/country:us/state:tx/place:dallas/council_district:2
CIe00829,TX,Dallas,Dallas Council,TX,Dallas City Council District 3,City Council District 3,"Casey Thomas, II","Dallas City Hall 1500 Marilla St.Room 5FS Dallas, Texas 75201",214-670-0777,http://dallascityhall.com/government/citycouncil/district3/,richard.soto@dallascityhall.com,,,ocd-division/country:us/state:tx/place:dallas/council_district:3
CIe00830,TX,Dallas,,TX,Dallas City Council District 4,City Council District 4,Carolyn King Arnold,"Dallas City Hall 1500 Marilla St.Room 5FS Dallas, Texas 75201Fax: 214-670-5117",,http://dallascityhall.com/government/citycouncil/district4/,,,,ocd-division/country:us/state:tx/place:dallas/council_district:4
CIe00831,TX,Dallas,Dallas Council,TX,Dallas City Council District 5,City Council District 5,Rickey D. Callahan,"Dallas City Hall 1500 Marilla St.Room 5FS Dallas, Texas 75201",214-670-4052,http://dallascityhall.com/government/citycouncil/district5/,rick.callahan@dallascityhall.com,,,ocd-division/country:us/state:tx/place:dallas/council_district:5
CIe00832,TX,Dallas,Dallas Council,TX,Dallas City Council District 6,City Council District 6,Monica R. Alonzo,"Dallas City Hall 1500 Marilla St.Room 5DN Dallas, Texas 75201",214-670-4199,http://dallascityhall.com/government/citycouncil/district6/,,,,ocd-division/country:us/state:tx/place:dallas/council_district:6
CIe00833,TX,Dallas,Dallas Council,TX,Dallas City Council District 7,City Council District 7,Tiffinni A. Young,"Dallas City Hall 1500 Marilla St.Room 5FN Dallas, Texas 75201",214-670-4689,http://dallascityhall.com/government/citycouncil/district7/,district7@dallascityhall.com,,,ocd-division/country:us/state:tx/place:dallas/council_district:7
CIe00834,TX,Dallas,Dallas Council,TX,Dallas City Council District 8,City Council District 8,Erik Wilson,"Dallas City Hall 1500 Marilla St.Room 5DN Dallas, Texas 75201",(214) 670-4066,http://dallascityhall.com/government/citycouncil/district8/,maria.salazar2@dallascityhall.com,,,ocd-division/country:us/state:tx/place:dallas/council_district:8
CIe00835,TX,Dallas,,TX,Dallas  City Council District 9, City Council District 9,Mark Clayton,"Dallas City Hall 1500 Marilla St.Room 5FN Dallas, Texas 75201",214-670-4069,http://dallascityhall.com/government/citycouncil/district9/,,,,ocd-division/country:us/state:tx/place:dallas/council_district:9
CIe00823,TX,Dallas,Dallas Council,TX,Dallas City Council District 10,City Council District 10,B. Adam McGough,"Dallas City Hall 1500 Marilla St.Room 5FS Dallas, Texas 75201",214-670-4068,http://dallascityhall.com/government/citycouncil/district10/,adam.mcgough@dallascityhall.com,,,ocd-division/country:us/state:tx/place:dallas/council_district:10
CIe00824,TX,Dallas,Dallas Council,TX,Dallas City Council District 11,City Council District 11,Lee M.Kleinman,"Dallas City Hall 1500 Marilla St.Room 5FS Dallas, Texas 75201",214-670-7817,http://dallascityhall.com/government/citycouncil/district11/,sophia.figueroa@dallascityhall.com,,,ocd-division/country:us/state:tx/place:dallas/council_district:11
CIe00825,TX,Dallas,Dallas Council,TX,Dallas City Council District 12,City Council District 12,Sandy Greyson,"Dallas City Hall 1500 Marilla St.Room 5FN Dallas, Texas 75201",214-670-4067,http://dallascityhall.com/government/citycouncil/district12/,sandy.greyson@dallascityhall.com,,,ocd-division/country:us/state:tx/place:dallas/council_district:12
CIe00826,TX,Dallas,Dallas Council,TX,Dallas City Council District 13,City Council District 13,Jennifer Staubach Gates,"Dallas City Hall 1500 Marilla St.Room 5FS Dallas, Texas 75201",214-670-3816,http://dallascityhall.com/government/citycouncil/district13/,carolyn.williamson@dallascityhall.com,,,ocd-division/country:us/state:tx/place:dallas/council_district:13
CIe00827,TX,Dallas,Dallas Council,TX,Dallas City Council District 14,City Council District 14,Philip T. Kingston,"Dallas City Hall 1500 Marilla St.Room 5FN Dallas, Texas 75201",214-670-5415,http://dallascityhall.com/government/citycouncil/district14/,,,,ocd-division/country:us/state:tx/place:dallas/council_district:14
CIe00821,TX,Dallas,Dallas Elected Officials,TX,Dallas,Mayor,Mayor Mike Rawlings,"1500 Marilla St. Dallas, TX 75201",214-670-3111,http://dallascityhall.com/government/citymayor/Pages/default.aspx,,,,ocd-division/country:us/state:tx/place:dallas
