UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
CIe00079,CA,Los Angeles,,CA,Los Angeles City 1,City Councilmember 1,Gilbert Cedillo,,(213) 473-3231,http://cd1.lacity.org/,councilmember.cedillo@lacity.org,,,ocd-division/country:us/state:ca/place:los_angeles/council_district:1
CIe00086,CA,Los Angeles,,CA,Los Angeles City 2,City Councilmember 2,Paul Krekorian,,(213) 473-3231,http://cd2.lacity.org/,councilmember.Krekorian@lacity.org,,http://twitter.com/paulkrekorian,ocd-division/country:us/state:ca/place:los_angeles/council_district:2
CIe00087,CA,Los Angeles,,CA,Los Angeles City 3,City Councilmember 3,Bob Blumenfield,,(213) 473-3231,http://cd3.lacity.org/,councilmember.blumenfield@lacity.org,,,ocd-division/country:us/state:ca/place:los_angeles/council_district:3
CIe00088,CA,Los Angeles,,CA,Los Angeles City 4,City Councilmember 4,David E. Ryu,,(213) 473-3231,http://cd4.lacity.org/,david.ryu@lacity.org,,,ocd-division/country:us/state:ca/place:los_angeles/council_district:4
CIe00089,CA,Los Angeles,,CA,Los Angeles City 5,City Councilmember 5,Paul Koretz,,(213) 473-3231,http://cd5.lacity.org/,paul.koretz@lacity.org,,,ocd-division/country:us/state:ca/place:los_angeles/council_district:5
CIe00090,CA,Los Angeles,,CA,Los Angeles City 6,City Councilmember 6,Nury Martinez,,(213) 473-3231,http://cd6.lacity.org/,councilmember.martinez@lacity.org,,,ocd-division/country:us/state:ca/place:los_angeles/council_district:6
CIe00091,CA,Los Angeles,,CA,Los Angeles City 7,City Councilmember 7,Vacant,,(213) 473-3231,http://cd7.lacity.org/,councildistrict7@lacity.org,,,ocd-division/country:us/state:ca/place:los_angeles/council_district:7
CIe00092,CA,Los Angeles,,CA,Los Angeles City 8,City Councilmember 8,Marqueece Harris-Dawson,,(213) 473-3231,http://cd8.lacity.org/,councilmember.harris-dawson@lacity.org,,,ocd-division/country:us/state:ca/place:los_angeles/council_district:8
CIe00093,CA,Los Angeles,,CA,Los Angeles City 9,City Councilmember 9,"Curren D. Price, Jr.",,(213) 473-3231,http://cd9.lacity.org/,councilmember.price@lacity.org,,,ocd-division/country:us/state:ca/place:los_angeles/council_district:9
CIe00080,CA,Los Angeles,,CA,Los Angeles City 10,City Councilmember 10,"Herb J. Wesson, Jr.",,(213) 473-3231,http://cd10.lacity.org/,councilmember.wesson@lacity.org,,,ocd-division/country:us/state:ca/place:los_angeles/council_district:10
CIe00081,CA,Los Angeles,,CA,Los Angeles City 11,City Councilmember 11,Mike Bonin,,(213) 473-3231,http://cd11.lacity.org/,councilmember.bonin@lacity.org,,,ocd-division/country:us/state:ca/place:los_angeles/council_district:11
CIe00082,CA,Los Angeles,,CA,Los Angeles City 12,City Councilmember 12,Mitchell Englander,,(213) 473-3231,http://cd12.lacity.org/,councilmember.englander@lacity.org,,,ocd-division/country:us/state:ca/place:los_angeles/council_district:12
CIe00083,CA,Los Angeles,,CA,Los Angeles City 13,City Councilmember 13,Mitch O'Farrell,,(213) 473-3231,http://cd13.lacity.org/,councilmember.ofarrell@lacity.org,,,ocd-division/country:us/state:ca/place:los_angeles/council_district:13
CIe00084,CA,Los Angeles,,CA,Los Angeles City 14,City Councilmember 14,Jose Huizar,,(213) 473-3231,http://cd14.lacity.org/,councilmember.huizar@lacity.org,,,ocd-division/country:us/state:ca/place:los_angeles/council_district:14
CIe00085,CA,Los Angeles,,CA,Los Angeles City 15,City Councilmember 15,Joe Buscaino,,(213) 473-3231,http://cd15.lacity.org/,councilmember.buscaino@lacity.org,,http://twitter.com/la15th,ocd-division/country:us/state:ca/place:los_angeles/council_district:15
CIe00078,CA,Los Angeles,,CA,Los Angeles,Mayor,Eric Garcetti,"200 N. Spring St. Los Angeles, CA 90012",(213) 978-0600,http://www.lamayor.org/,mayor.garcetti@lacity.org,,,ocd-division/country:us/state:ca/place:los_angeles
